,remove_outliers,remove_missing,scale,resample,test_max_mean,optimised_cutoff
12,FALSE,drop,none,none,0.476470588,0.186666667
24,FALSE,drop,standard,none,0.475073314,0.186666667
0,FALSE,drop,minmax,none,0.471264368,0.186666667
26,FALSE,drop,standard,up,0.46039604,0.386666667
2,FALSE,drop,minmax,up,0.457420925,0.386666667
3,FALSE,drop,minmax,down,0.457420925,0.386666667
14,FALSE,drop,none,up,0.457420925,0.386666667
27,FALSE,drop,standard,down,0.449877751,0.386666667
15,FALSE,drop,none,down,0.441747573,0.386666667
60,TRUE,drop,standard,none,0.430656934,0.2
48,TRUE,drop,none,none,0.413114754,0.186666667
36,TRUE,drop,minmax,none,0.413114754,0.186666667
38,TRUE,drop,minmax,up,0.397694524,0.386666667
68,TRUE,impute_median,standard,none,0.394299287,0.16
62,TRUE,drop,standard,up,0.391930836,0.386666667
50,TRUE,drop,none,up,0.390804598,0.386666667
64,TRUE,impute_mean,standard,none,0.390588235,0.16
70,TRUE,impute_median,standard,up,0.388349515,0.386666667
39,TRUE,drop,minmax,down,0.387811634,0.386666667
54,TRUE,impute_mean,none,up,0.385714286,0.386666667
58,TRUE,impute_median,none,up,0.385542169,0.386666667
44,TRUE,impute_median,minmax,none,0.385150812,0.16
32,FALSE,impute_median,standard,none,0.384180791,0.186666667
28,FALSE,impute_mean,standard,none,0.384180791,0.186666667
66,TRUE,impute_mean,standard,up,0.383693046,0.386666667
46,TRUE,impute_median,minmax,up,0.383693046,0.386666667
40,TRUE,impute_mean,minmax,none,0.382488479,0.16
8,FALSE,impute_median,minmax,none,0.382271468,0.186666667
4,FALSE,impute_mean,minmax,none,0.382271468,0.186666667
59,TRUE,impute_median,none,down,0.381642512,0.386666667
56,TRUE,impute_median,none,none,0.381443299,0.173333333
42,TRUE,impute_mean,minmax,up,0.380952381,0.386666667
55,TRUE,impute_mean,none,down,0.380722892,0.386666667
35,FALSE,impute_median,standard,down,0.3798627,0.373333333
47,TRUE,impute_median,minmax,down,0.379807692,0.386666667
52,TRUE,impute_mean,none,none,0.379146919,0.16
31,FALSE,impute_mean,standard,down,0.378995434,0.373333333
16,FALSE,impute_mean,none,none,0.378082192,0.186666667
43,TRUE,impute_mean,minmax,down,0.377990431,0.386666667
63,TRUE,drop,standard,down,0.376657825,0.373333333
11,FALSE,impute_median,minmax,down,0.376190476,0.386666667
71,TRUE,impute_median,standard,down,0.375903614,0.386666667
23,FALSE,impute_median,none,down,0.375586854,0.386666667
67,TRUE,impute_mean,standard,down,0.375,0.386666667
19,FALSE,impute_mean,none,down,0.37470726,0.386666667
20,FALSE,impute_median,none,none,0.374655647,0.186666667
7,FALSE,impute_mean,minmax,down,0.374407583,0.386666667
51,TRUE,drop,none,down,0.371584699,0.386666667
34,FALSE,impute_median,standard,up,0.370192308,0.386666667
30,FALSE,impute_mean,standard,up,0.368421053,0.386666667
10,FALSE,impute_median,minmax,up,0.367541766,0.386666667
22,FALSE,impute_median,none,up,0.366666667,0.386666667
18,FALSE,impute_mean,none,up,0.366666667,0.386666667
6,FALSE,impute_mean,minmax,up,0.365795724,0.386666667
33,FALSE,impute_median,standard,smote,0.365354331,0.386666667
29,FALSE,impute_mean,standard,smote,0.363067293,0.386666667
9,FALSE,impute_median,minmax,smote,0.362790698,0.386666667
5,FALSE,impute_mean,minmax,smote,0.362790698,0.386666667
17,FALSE,impute_mean,none,smote,0.361370717,0.386666667
21,FALSE,impute_median,none,smote,0.356164384,0.373333333
57,TRUE,impute_median,none,smote,0.341384863,0.373333333
53,TRUE,impute_mean,none,smote,0.341384863,0.373333333
45,TRUE,impute_median,minmax,smote,0.338259442,0.386666667
69,TRUE,impute_median,standard,smote,0.336079077,0.386666667
41,TRUE,impute_mean,minmax,smote,0.336052202,0.386666667
65,TRUE,impute_mean,standard,smote,0.334975369,0.386666667
37,TRUE,drop,minmax,smote,0.330612245,0.373333333
61,TRUE,drop,standard,smote,0.326043738,0.36
49,TRUE,drop,none,smote,0.324649299,0.36
25,FALSE,drop,standard,smote,0.321649485,0.373333333
13,FALSE,drop,none,smote,0.319327731,0.386666667
1,FALSE,drop,minmax,smote,0.315789474,0.386666667
